År,Januari,Februari,Mars,April,Maj,Juni,Juli,Augusti,September,Oktober,November,December,MWh totalt
2021,"158,629","125,372","5,564","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","289,565"
2020,"96,316","102,431","87,806","61,682","42,952","7,254","13,597","12,543","32,265","63,063","81,072","96,671","697,652"
2019,"140,391","102,367","99,877","53,941","40,626","13,487","10,059","12,346","36,286","70,251","106,698","101,957","788,286"
2018,"125,153","116,022","113,319","60,378","22,906","17,092","4,891","14,963","28,828","56,931","88,203","105,064","753,750"
2017,"0,000","0,000","0,000","68,670","35,674","17,749","12,737","17,837","30,964","63,990","102,327","109,120","459,068"
